"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",vk,cpc,prof-python,320,1270,320,40,2844512
"2023-06-01",vk,cpc,prof-java,192,1524,192,16,1861808
"2023-06-01",vk,cpc,prof-python,200,762,200,25,1777820
"2023-06-01",vk,cpc,prof-python,200,381,200,25,1777820
"2023-06-01",yandex,cpc,freemium,101,14629,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14213,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,15317,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14699,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14413,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14330,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14680,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14523,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,14981,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,13694,101,25,1654810
"2023-06-01",yandex,cpc,freemium,101,15416,101,25,1654810
